Code,timeON,timeOFF,notes,minsOn,minsOff
Nose2Body,  11.1,  13.0,  ,0:0:11,0:0:13
Nose2Body,  14.3,  14.8,  ,0:0:14,0:0:14
Nose2Body,  15.8,  17.0,  ,0:0:15,0:0:17
Nose2Body,  23.4,  24.2,  ,0:0:23,0:0:24
Nose2Body,  31.9,  34.9,  ,0:0:31,0:0:34
Nose2Body,  37.7,  38.4,  ,0:0:37,0:0:38
Nose2Body,  50.9,  52.9,  ,0:0:50,0:0:52
Nose2Body,  54.3,  55.9,  ,0:0:54,0:0:55
Nose2Body,  58.9,  66.9,  ,0:0:58,0:1:6
Nose2Body,  75.8,  76.6,  ,0:1:15,0:1:16
Nose2Body,  92.8,  93.3,  ,0:1:32,0:1:33
Nose2Nose,  17.0,  17.5,  ,0:0:17,0:0:17
Nose2Nose,  40.4,  42.3,  ,0:0:40,0:0:42
Nose2Nose,  44.0,  45.5,  ,0:0:44,0:0:45
Nose2Nose,  46.4,  46.7,  ,0:0:46,0:0:46
Nose2Nose,  55.6,  56.5,  ,0:0:55,0:0:56
Nose2Nose,  68.6,  69.3,  ,0:1:8,0:1:9
Nose2Nose,  71.2,  72.4,  ,0:1:11,0:1:12
Nose2Nose,  80.8,  81.7,  ,0:1:20,0:1:21
Nose2Nose,  88.5,  89.7,  ,0:1:28,0:1:29
Nose2Nose,  103.0,  103.7,  ,0:1:43,0:1:43
Nose2Nose,  108.6,  109.3,  ,0:1:48,0:1:49
Nose2Nose,  114.0,  114.6,  ,0:1:54,0:1:54
Nose2Nose,  125.2,  126.8,  ,0:2:5,0:2:6
Nose2Nose,  145.4,  146.8,  ,0:2:25,0:2:26
Nose2Nose,  149.9,  150.9,  ,0:2:29,0:2:30
Nose2Nose,  152.5,  153.9,  ,0:2:32,0:2:33
Nose2Nose,  157.6,  159.7,  ,0:2:37,0:2:39
Nose2Nose,  160.6,  162.5,  ,0:2:40,0:2:42
Nose2Nose,  167.4,  168.9,  ,0:2:47,0:2:48
Nose2Nose,  170.8,  171.5,  ,0:2:50,0:2:51
Nose2Nose,  177.2,  177.5,  ,0:2:57,0:2:57
Nose2Nose,  181.3,  181.8,  ,0:3:1,0:3:1
Nose2Nose,  197.8,  200.7,  ,0:3:17,0:3:20
Nose2Nose,  202.2,  203.3,  ,0:3:22,0:3:23
Nose2Nose,  206.7,  207.3,  ,0:3:26,0:3:27
Nose2Nose,  218.8,  221.4,  ,0:3:38,0:3:41
Nose2Nose,  221.8,  223.0,  ,0:3:41,0:3:43
Nose2Nose,  231.0,  231.8,  ,0:3:51,0:3:51
Nose2Nose,  239.4,  240.4,  ,0:3:59,0:4:0
Nose2Nose,  243.3,  243.7,  ,0:4:3,0:4:3
Nose2Nose,  262.3,  262.8,  ,0:4:22,0:4:22
Nose2Nose,  272.5,  274.1,  ,0:4:32,0:4:34
Nose2Nose,  284.0,  285.7,  ,0:4:44,0:4:45
Nose2Nose,  306.0,  306.5,  ,0:5:6,0:5:6
Nose2Nose,  308.1,  310.9,  ,0:5:8,0:5:10
Nose2Nose,  317.0,  319.5,  ,0:5:17,0:5:19
Nose2Nose,  321.1,  322.6,  ,0:5:21,0:5:22
Nose2Nose,  327.0,  327.7,  ,0:5:27,0:5:27
Nose2Nose,  335.7,  336.1,  ,0:5:35,0:5:36
Nose2Nose,  342.8,  345.4,  ,0:5:42,0:5:45
Nose2Nose,  350.5,  353.2,  ,0:5:50,0:5:53
Nose2Nose,  359.1,  359.7,  ,0:5:59,0:5:59
Nose2Nose,  371.5,  372.1,  ,0:6:11,0:6:12
Nose2Nose,  379.4,  380.7,  ,0:6:19,0:6:20
Nose2Nose,  382.6,  384.1,  ,0:6:22,0:6:24
Nose2Nose,  400.9,  403.4,  ,0:6:40,0:6:43
Nose2Nose,  412.3,  413.0,  ,0:6:52,0:6:53
Nose2Nose,  421.3,  421.8,  ,0:7:1,0:7:1
Nose2Nose,  422.5,  423.8,  ,0:7:2,0:7:3
Nose2Nose,  427.6,  428.3,  ,0:7:7,0:7:8
Nose2Nose,  438.3,  440.9,  ,0:7:18,0:7:20
Nose2Nose,  441.7,  442.8,  ,0:7:21,0:7:22
Nose2Nose,  453.5,  456.2,  ,0:7:33,0:7:36
Nose2Nose,  464.0,  467.1,  ,0:7:44,0:7:47
Nose2Nose,  494.6,  495.3,  ,0:8:14,0:8:15
Nose2Nose,  504.7,  505.5,  ,0:8:24,0:8:25
Nose2Nose,  509.8,  515.0,  ,0:8:29,0:8:35
Nose2Nose,  518.6,  524.1,  ,0:8:38,0:8:44
Nose2Nose,  525.5,  526.3,  ,0:8:45,0:8:46
Nose2Nose,  527.2,  528.4,  ,0:8:47,0:8:48
Nose2Nose,  532.8,  533.5,  ,0:8:52,0:8:53
Nose2Nose,  542.8,  543.6,  ,0:9:2,0:9:3
Nose2Nose,  551.2,  552.0,  ,0:9:11,0:9:12
Nose2Nose,  552.6,  553.4,  ,0:9:12,0:9:13
Nose2Nose,  565.8,  566.9,  ,0:9:25,0:9:26
Nose2Nose,  569.0,  569.8,  ,0:9:29,0:9:29
Nose2Nose,  572.1,  573.1,  ,0:9:32,0:9:33
Nose2Nose,  579.6,  580.8,  ,0:9:39,0:9:40
Nose2Nose,  591.4,  593.4,  ,0:9:51,0:9:53
Nose2Nose,  599.3,  601.0,  ,0:9:59,0:10:1
Nose2Nose,  611.1,  612.9,  ,0:10:11,0:10:12
Nose2Nose,  614.7,  615.2,  ,0:10:14,0:10:15
Nose2Nose,  626.4,  626.7,  ,0:10:26,0:10:26
Nose2Nose,  635.6,  636.8,  ,0:10:35,0:10:36
Nose2Nose,  641.2,  641.9,  ,0:10:41,0:10:41
Nose2Nose,  648.8,  650.1,  ,0:10:48,0:10:50
Nose2Nose,  659.8,  660.3,  ,0:10:59,0:11:0
Nose2Nose,  662.8,  664.3,  ,0:11:2,0:11:4
Nose2Nose,  682.8,  683.3,  ,0:11:22,0:11:23
Nose2Nose,  683.9,  685.7,  ,0:11:23,0:11:25
Nose2Nose,  706.7,  707.3,  ,0:11:46,0:11:47
Nose2Genitals,  9.0,  11.1,  ,0:0:9,0:0:11
Nose2Genitals,  15.0,  15.5,  ,0:0:15,0:0:15
Nose2Genitals,  20.2,  21.1,  ,0:0:20,0:0:21
Nose2Genitals,  26.4,  29.1,  ,0:0:26,0:0:29
Nose2Genitals,  102.3,  103.0,  ,0:1:42,0:1:43
Nose2Genitals,  115.1,  115.7,  ,0:1:55,0:1:55
Nose2Genitals,  121.4,  122.4,  ,0:2:1,0:2:2
Nose2Genitals,  188.1,  189.4,  ,0:3:8,0:3:9
Nose2Genitals,  214.5,  216.0,  ,0:3:34,0:3:36
Nose2Genitals,  232.3,  234.0,  ,0:3:52,0:3:54
Nose2Genitals,  235.3,  236.3,  ,0:3:55,0:3:56
Nose2Genitals,  247.2,  248.6,  ,0:4:7,0:4:8
Nose2Genitals,  269.1,  270.7,  ,0:4:29,0:4:30
Nose2Genitals,  279.0,  281.0,  ,0:4:39,0:4:41
Nose2Genitals,  299.2,  299.5,  ,0:4:59,0:4:59
Nose2Genitals,  302.0,  302.8,  ,0:5:2,0:5:2
Nose2Genitals,  313.5,  315.5,  ,0:5:13,0:5:15
Nose2Genitals,  326.1,  326.6,  ,0:5:26,0:5:26
Nose2Genitals,  328.0,  329.4,  ,0:5:28,0:5:29
Nose2Genitals,  337.6,  338.0,  ,0:5:37,0:5:38
Nose2Genitals,  370.1,  370.7,  ,0:6:10,0:6:10
Nose2Genitals,  385.8,  387.4,  ,0:6:25,0:6:27
Nose2Genitals,  389.2,  399.4,  ,0:6:29,0:6:39
Nose2Genitals,  404.3,  405.1,  ,0:6:44,0:6:45
Nose2Genitals,  408.4,  409.7,  ,0:6:48,0:6:49
Nose2Genitals,  469.9,  485.1,  ,0:7:49,0:8:5
Nose2Genitals,  508.5,  509.7,  ,0:8:28,0:8:29
Nose2Genitals,  528.8,  531.5,  ,0:8:48,0:8:51
Nose2Genitals,  553.7,  557.6,  ,0:9:13,0:9:17
Nose2Genitals,  602.4,  608.8,  ,0:10:2,0:10:8
Nose2Genitals,  621.0,  622.4,  ,0:10:21,0:10:22
Nose2Genitals,  697.0,  697.4,  ,0:11:37,0:11:37
Above,  4.7,  5.2,  ,0:0:4,0:0:5
Above,  51.3,  52.9,  ,0:0:51,0:0:52
Above,  55.2,  56.6,  ,0:0:55,0:0:56
Above,  59.2,  60.0,  ,0:0:59,0:1:0
Above,  62.4,  63.1,  ,0:1:2,0:1:3
Above,  64.8,  65.4,  ,0:1:4,0:1:5
Above,  79.4,  80.1,  ,0:1:19,0:1:20
Above,  112.5,  113.6,  ,0:1:52,0:1:53
Above,  122.7,  123.5,  ,0:2:2,0:2:3
Above,  128.2,  128.5,  ,0:2:8,0:2:8
Above,  131.1,  131.9,  ,0:2:11,0:2:11
Above,  135.6,  139,  ,0:2:15,0:2:19
Above,  146.6,  147.8,  ,0:2:26,0:2:27
Above,  155.3,  156.2,  ,0:2:35,0:2:36
Above,  181.0,  182.0,  ,0:3:1,0:3:2
Above,  189.5,  191.8,  ,0:3:9,0:3:11
Above,  193.8,  195.0,  ,0:3:13,0:3:15
Above,  224.6,  225.4,  ,0:3:44,0:3:45
Above,  287.5,  289.1,  ,0:4:47,0:4:49
Above,  290.8,  292.5,  ,0:4:50,0:4:52
Above,  295.2,  297.1,  ,0:4:55,0:4:57
Above,  303.5,  306.5,  ,0:5:3,0:5:6
Above,  348.7,  349.9,  ,0:5:48,0:5:49
Above,  406.7,  407.1,  ,0:6:46,0:6:47
Above,  412.9,  413.4,  ,0:6:52,0:6:53
Above,  414.1,  414.9,  ,0:6:54,0:6:54
Above,  424.1,  424.7,  ,0:7:4,0:7:4
Above,  426.2,  426.6,  ,0:7:6,0:7:6
Above,  505.9,  507.9,  ,0:8:25,0:8:27
Above,  561.1,  564.8,  ,0:9:21,0:9:24
Above,  589.3,  590.5,  ,0:9:49,0:9:50
Above,  611.9,  612.5,  ,0:10:11,0:10:12
Above,  613.1,  613.5,  ,0:10:13,0:10:13
